
################################################
 
Database Restarts: 2021-08-13 22:04:39 
 
################################################
 
Summarizing Stats:  operation 
 
date                                                2021-09-18  2021-09-19  2021-09-20  2021-09-21  2021-09-22
cyp.replan_wait_time_Sum                               298,030  53,575,413   3,663,857  73,722,645  35,186,708
cyp.replan_wait_time_Avg                                74,508      63,704      38,567      38,863      60,982
cyp.replan_wait_time_Max                            12,326,270  23,133,484  13,382,269   5,897,698  20,733,007


################################################
 
Summarizing Stats:  page_cache 
 
date                                                2021-09-18  2021-09-19  2021-09-20  2021-09-21    2021-09-22
pgc.hit_ratio_Avg                                            1           1           1           1             1
pgc.hit_ratio_Max                                            1           1           1           1             1
pgc.page_faults_Sum                                          0          12           0          21             3
pgc.page_faults-ps_Avg                                       0           0           0           0             0
pgc.page_faults-ps_Max                                       0           0           0           0             0
pgc.hits_Sum                                        99,137,178 605,169,968 386,107,135 590,377,123 2,085,794,786
pgc.hits-ps_Avg                                          5,417       7,004       4,469       6,833        30,655
pgc.hits-ps_Max                                          5,928     482,883      10,319     517,899        65,569
pgc.flushes_Sum                                          5,765      62,301      25,347      70,706       137,982
pgc.flushes-ps_Avg                                           0           1           0           1             2
pgc.flushes-ps_Max                                           6         233          19         202            43
pgc.eviction_exceptions_Sum                                  0           0           0           0             0
pgc.eviction_exceptions-ps_Avg                               0           0           0           0             0
pgc.eviction_exceptions-ps_Max                               0           0           0           0             0
pgc.evictions_Sum                                            0           0           0           0             0
pgc.evictions-ps_Avg                                         0           0           0           0             0
pgc.evictions-ps_Max                                         0           0           0           0             0
pgc.pins_Sum                                        99,710,522 607,885,820 388,822,975 593,092,984 2,087,933,513
pgc.pins-ps_Avg                                          5,449       7,036       4,500       6,865        30,687
pgc.pins-ps_Max                                          5,960     482,915      10,350     517,931        65,601
pgc.unpins_Sum                                      99,136,652 604,561,399 386,102,822 589,420,714 2,085,501,409
pgc.unpins-ps_Avg                                        5,417       6,997       4,469       6,822        30,651
pgc.unpins-ps_Max                                        5,920     482,544      10,319     517,514        65,554


################################################
 
Summarizing Stats:  check_point(ms) 
 
date                                                2021-09-18  2021-09-19  2021-09-20  2021-09-21  2021-09-22
ckp.events_Count                                           305       1,440       1,440       1,440       1,134
ckp.total_time_Sum                                       6,998      49,559      25,085      46,271      72,437
ckp.check_point_duration_Sum                           106,859     631,991     377,013     676,967     681,623
ckp.check_point_duration_Count                             305       1,440       1,440       1,440       1,134
ckp.check_point_duration_Avg                               350         439         262         470         601
ckp.check_point_duration_Max                               485       6,662       1,059       4,868       1,294


################################################
 
Summarizing Stats:  jvm_gc 
 
date                                                2021-09-18  2021-09-19  2021-09-20  2021-09-21  2021-09-22
vm.gc.count.g1_old_generation_Sum                            0           0           0           0           0
vm.gc.count.g1_old_generation_Avg                            0           0           0           0           0
vm.gc.count.g1_old_generation_Max                            0           0           0           0           0
vm.gc.count.g1_young_generation_Sum                          7          45          32          41         153
vm.gc.count.g1_young_generation-ps_Avg                       0           0           0           0           0
vm.gc.count.g1_young_generation-ps_Max                       0           0           0           0           0
vm.gc.time.g1_old_generation_Sum                             0           0           0           0           0
vm.gc.time.g1_old_generation_Avg                             0           0           0           0           0
vm.gc.time.g1_old_generation_Max                             0           0           0           0           0
vm.gc.time.g1_young_generation_Sum                         265       2,176       1,807       2,544       4,259
vm.gc.time.g1_young_generation_Avg                           1           2           1           2           4
vm.gc.time.g1_young_generation_Max                          51         153         125         151          53
Total_GC_pause_time-ms_Sum                                 265       2,176       1,807       2,544       4,259
Total_GC_pause_time-ms_Avg                                   1           2           1           2           4
Total_GC_pause_time-ms_Max                                  51         153         125         151          53


################################################
 
Long Running Queries 
 
################################################
 

Note:  Will not run list of long running queries as Admin Report Directory Not Provided
 
 
