date,neo4j.db.operation.count.create_Max               ,neo4j.db.operation.count.drop_Max                 ,neo4j.db.operation.count.failed_Max               ,neo4j.db.operation.count.recovered_Max            ,neo4j.db.operation.count.start_Max                ,neo4j.db.operation.count.stop_Max                 
2021-09-18,2,0,0,0,2,0
2021-09-19,2,0,0,0,2,0
2021-09-20,2,0,0,0,2,0
2021-09-21,2,0,0,0,2,0
2021-09-22,2,0,0,0,2,0
date,neo4j.neo4j.neo4j.count.node_Max                  ,neo4j.neo4j.neo4j.count.relationship_Max          
2021-09-18,116386,171218
2021-09-19,116400,171233
2021-09-20,111551,162647
2021-09-21,117600,172685
2021-09-22,122796,180518
date,neo4j.neo4j.store.size.database_Max               ,neo4j.neo4j.store.size.total_Max                  
2021-09-18,1072.792251586914,5325.077612876892
2021-09-19,1072.8860025405884,2825.1724252700806
2021-09-20,1072.8860025405884,2825.205231666565
2021-09-21,1073.0500650405884,2587.5095806121826
2021-09-22,1073.0735025405884,10575.487016677856
date,neo4j.ids_in_use.node_Sum                         ,neo4j.ids_in_use.node-ps_Avg                      ,neo4j.ids_in_use.node-ps_Max                      ,neo4j.ids_in_use.property_Sum                     ,neo4j.ids_in_use.property-ps_Avg                  ,neo4j.ids_in_use.property-ps_Max                  ,neo4j.ids_in_use.relationship_Sum                 ,neo4j.ids_in_use.relationship-ps_Avg              ,neo4j.ids_in_use.relationship-ps_Max              ,neo4j.ids_in_use.relationship_type_Sum            ,neo4j.ids_in_use.relationship_type-ps_Avg         ,neo4j.ids_in_use.relationship_type-ps_Max         
2021-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
